ID	adj.P.Val	P.Value	t	B	logFC	ORF	SPOT_ID
LOC647891	0.458	0.0000133	5.197176	2.7709	0.10620194	LOC647891	
PIGN	0.536	0.0000382	-4.822747	1.9146	-0.24168982	PIGN	
E2F1	0.536	0.000053	4.706498	1.648	0.28903446	E2F1	
STARD9	0.536	0.0000707	4.604094	1.4132	0.1008622	STARD9	
GCN1L1	0.536	0.0001043	4.465515	1.0956	0.29568615	GCN1L1	
NRP1	0.536	0.0001282	-4.391866	0.9271	-0.14924794	NRP1	
DPP8	0.536	0.0001469	-4.343136	0.8157	-0.18426247	DPP8	
PPARG	0.536	0.0002263	-4.188032	0.4621	-0.08304762	PPARG	
FOXJ3	0.536	0.0002265	4.187694	0.4613	0.24634836	FOXJ3	
LOC284890	0.536	0.0002633	-4.13342	0.338	-0.13263018	LOC284890	
ZNF35	0.536	0.0003226	-4.059922	0.1713	-0.21942782	ZNF35	
TCERG1	0.536	0.0003339	4.047411	0.143	0.13893841	TCERG1	
LOC402066	0.536	0.0003491	-4.031225	0.1064	-0.09579987	LOC402066	
C11ORF10	0.536	0.0003507	-4.029631	0.1028	-0.16844885	C11ORF10	
HS.563980	0.536	0.0003625	-4.017546	0.0755	-0.10736737	HS.563980	
NEU1	0.536	0.0003704	-4.009718	0.0578	-0.43903617	NEU1	
FAM25C	0.536	0.0003726	-4.007646	0.0531	-0.08939696	FAM25C	
TK2	0.536	0.0004103	-3.972573	-0.026	-0.293381	TK2	
STX8	0.536	0.0004432	-3.944449	-0.0894	-0.19933399	STX8	
LOC100129021	0.536	0.0004765	3.918041	-0.1488	0.0988762	LOC100129021	
MTFR1	0.536	0.0004792	-3.915919	-0.1535	-0.21511885	MTFR1	
LOC400506	0.536	0.0004984	-3.901613	-0.1857	-0.28085887	LOC400506	
LOC651101	0.536	0.0005198	-3.886241	-0.2202	-0.09351052	LOC651101	
HS.400131	0.536	0.0005368	3.874408	-0.2467	0.26435929	HS.400131	
CDKN2B	0.536	0.0006252	-3.818503	-0.3719	-0.098822	CDKN2B	
HS.577758	0.536	0.0007022	3.775787	-0.4672	0.10603104	HS.577758	
LOC100130958	0.536	0.0007084	3.772573	-0.4744	0.07787136	LOC100130958	
ZNF541	0.536	0.0007593	3.746939	-0.5315	0.12983912	ZNF541	
LOC441126	0.536	0.0007652	-3.744114	-0.5377	-0.10860972	LOC441126	
ARID3C	0.536	0.0007846	3.734853	-0.5583	0.10052523	ARID3C	
MAOB	0.536	0.0007875	-3.733502	-0.5613	-0.10739891	MAOB	
LOC644841	0.536	0.0008313	3.713484	-0.6058	0.07267114	LOC644841	
CR1	0.536	0.0008452	-3.707319	-0.6194	-0.17445946	CR1	
NDUFC2	0.536	0.0008546	-3.703257	-0.6285	-0.13530535	NDUFC2	
MIR1250	0.536	0.00088	3.692393	-0.6525	0.08904179	MIR1250	
LOC646481	0.536	0.000923	-3.674698	-0.6917	-0.11693072	LOC646481	
RAB3IP	0.536	0.0009353	3.669769	-0.7026	0.25189289	RAB3IP	
C17ORF71	0.536	0.0009498	-3.664077	-0.7152	-0.21538667	C17ORF71	
STT3A	0.536	0.0009531	-3.662784	-0.718	-0.35305695	STT3A	
FLJ16779	0.536	0.0009716	3.655645	-0.7338	0.0828336	FLJ16779	
HYAL3	0.536	0.0009891	-3.649022	-0.7484	-0.25252551	HYAL3	
SNORD78	0.536	0.0010149	3.639426	-0.7696	0.12499681	SNORD78	
OTC	0.536	0.0010207	3.637324	-0.7743	0.0867614	OTC	
RTN4RL2	0.536	0.0010552	3.624942	-0.8016	0.09093329	RTN4RL2	
RFP	0.536	0.0010914	-3.612359	-0.8293	-0.23075538	RFP	
WDR41	0.536	0.0010957	-3.610914	-0.8325	-0.30989183	WDR41	
VNN2	0.536	0.0010998	-3.609502	-0.8356	-0.6757619	VNN2	
PPRC1	0.536	0.0011152	3.604303	-0.847	0.16420104	PPRC1	
FAM89A	0.536	0.0011359	-3.597449	-0.8621	-0.14479897	FAM89A	
C14ORF173	0.536	0.0011464	3.594021	-0.8696	0.42550819	C14ORF173	
LOC648152	0.536	0.0011559	-3.590951	-0.8764	-0.0839997	LOC648152	
F8	0.536	0.0011562	-3.590825	-0.8766	-0.12056529	F8	
WDR47	0.536	0.0011596	-3.58974	-0.879	-0.14944759	WDR47	
PAPSS2	0.536	0.0011687	-3.586825	-0.8854	-0.29817136	PAPSS2	
C1ORF149	0.536	0.0011689	-3.586764	-0.8856	-0.28581743	C1ORF149	
MIR548B	0.536	0.0011727	3.585555	-0.8882	0.0818362	MIR548B	
ZNF623	0.536	0.0011804	-3.583113	-0.8936	-0.07824905	ZNF623	
HS.541066	0.536	0.0012095	3.573985	-0.9136	0.11997703	HS.541066	
TUFM	0.536	0.0012238	-3.56959	-0.9232	-0.34571704	TUFM	
ARID3A	0.536	0.0012324	-3.566978	-0.929	-0.38181109	ARID3A	
IAH1	0.536	0.0012358	-3.565946	-0.9312	-0.19488936	IAH1	
RNF169	0.536	0.0012541	-3.560435	-0.9433	-0.11591038	RNF169	
CD244	0.536	0.0013016	-3.546513	-0.9738	-0.35796908	CD244	
PELP1	0.536	0.0013461	3.533914	-1.0014	0.26784194	PELP1	
SCPEP1	0.536	0.0014627	-3.502705	-1.0695	-0.42560106	SCPEP1	
IQCC	0.536	0.0014654	3.502001	-1.071	0.17054955	IQCC	
ZBTB3	0.536	0.001482	-3.497748	-1.0803	-0.19210727	ZBTB3	
PSEN2	0.536	0.0015077	-3.491277	-1.0944	-0.26476073	PSEN2	
RPL35	0.536	0.0015162	3.489178	-1.099	0.15091912	RPL35	
S1PR3	0.536	0.0015306	-3.485603	-1.1067	-0.46730516	S1PR3	
ABHD2	0.536	0.0015366	-3.484138	-1.1099	-0.1350153	ABHD2	
ATG7	0.536	0.0015614	-3.478107	-1.1231	-0.45395711	ATG7	
MIR223	0.536	0.0015675	-3.476635	-1.1263	-0.39353656	MIR223	
ANKAR	0.536	0.0016105	3.466408	-1.1485	0.08899642	ANKAR	
METTL1	0.536	0.0016198	3.464243	-1.1532	0.18777481	METTL1	
NELF	0.536	0.0016242	3.463225	-1.1554	0.42114389	NELF	
MPZL1	0.536	0.0016252	-3.462979	-1.1559	-0.17860108	MPZL1	
AADACL1	0.536	0.0016282	-3.46228	-1.1574	-0.22464036	AADACL1	
LOC100128883	0.536	0.0016539	3.456373	-1.1703	0.16685003	LOC100128883	
HS.565778	0.536	0.0016854	-3.449249	-1.1857	-0.09605567	HS.565778	
WASH1	0.536	0.0017747	3.429709	-1.2281	0.28606242	WASH1	
OR5C1	0.536	0.0018113	-3.421964	-1.2448	-0.10382993	OR5C1	
PXMP3	0.536	0.0018286	-3.418369	-1.2526	-0.22130457	PXMP3	
LIF	0.536	0.001831	-3.417877	-1.2536	-0.08385918	LIF	
EIF4A2	0.536	0.0018571	3.412512	-1.2652	0.16265521	EIF4A2	
LOC644637	0.536	0.0018785	-3.408159	-1.2746	-0.11012739	LOC644637	
LOC729069	0.536	0.0019024	-3.403351	-1.285	-0.08496191	LOC729069	
SPTLC2	0.536	0.0019217	-3.399521	-1.2933	-0.33038114	SPTLC2	
HS.525922	0.536	0.0019292	-3.398035	-1.2965	-0.10277983	HS.525922	
GPR177	0.536	0.0020064	-3.383126	-1.3286	-0.42414569	GPR177	
FBXL5	0.536	0.0020216	-3.380249	-1.3348	-0.3757355	FBXL5	
HOXB4	0.536	0.0020237	-3.379858	-1.3357	-0.16158248	HOXB4	
HS.581554	0.536	0.0020864	-3.368235	-1.3607	-0.09001742	HS.581554	
SLC9A6	0.536	0.0021199	-3.362174	-1.3737	-0.16159312	SLC9A6	
SHFM1	0.536	0.002123	-3.361611	-1.3749	-0.22263097	SHFM1	
LOC138864	0.536	0.002145	3.357677	-1.3833	0.0575339	LOC138864	
COL9A2	0.536	0.0021453	3.35764	-1.3834	0.24929918	COL9A2	
SLC39A11	0.536	0.0022028	-3.347536	-1.4051	-0.33968603	SLC39A11	
SLC39A1	0.536	0.0022072	-3.346773	-1.4068	-0.31599258	SLC39A1	
NUDT9	0.536	0.002221	-3.344393	-1.4119	-0.16722842	NUDT9	
ABCD2	0.536	0.0022221	3.344209	-1.4123	0.07602093	ABCD2	
NGLY1	0.536	0.0022252	3.343676	-1.4134	0.20873476	NGLY1	
LDLRAD3	0.536	0.0022874	-3.33314	-1.436	-0.16778598	LDLRAD3	
C7ORF59	0.536	0.0022991	-3.331199	-1.4401	-0.28028781	C7ORF59	
TM9SF1	0.536	0.0023129	-3.328909	-1.445	-0.26308433	TM9SF1	
SLC26A11	0.536	0.0024034	3.314206	-1.4765	0.20268503	SLC26A11	
TXNIP	0.536	0.0024096	-3.313226	-1.4786	-0.2658982	TXNIP	
COPS4	0.536	0.0024295	-3.31007	-1.4853	-0.16982504	COPS4	
ORC1L	0.536	0.0024452	-3.307599	-1.4906	-0.09261096	ORC1L	
CD300LB	0.536	0.0024481	-3.307156	-1.4915	-0.46319639	CD300LB	
CDK5	0.536	0.0024514	-3.306632	-1.4927	-0.27719936	CDK5	
LOC100131705	0.536	0.0024519	-3.306561	-1.4928	-0.09237268	LOC100131705	
HS.574595	0.536	0.0024528	-3.306423	-1.4931	-0.07543179	HS.574595	
ZZEF1	0.536	0.0024742	3.303079	-1.5002	0.25268482	ZZEF1	
SORT1	0.536	0.0025001	-3.299096	-1.5087	-0.46658962	SORT1	
MIR383	0.536	0.0025121	-3.297256	-1.5127	-0.09711174	MIR383	
RNF216L	0.536	0.0025719	-3.28822	-1.5319	-0.28829237	RNF216L	
MRPL33	0.536	0.0025756	-3.287665	-1.5331	-0.21645482	MRPL33	
RNF5	0.536	0.0025765	-3.28753	-1.5334	-0.22975852	RNF5	
MIR551B	0.536	0.0025803	3.286977	-1.5346	0.08695299	MIR551B	
GINS3	0.536	0.0025817	-3.286768	-1.535	-0.22668092	GINS3	
FUCA1	0.536	0.0025948	-3.284821	-1.5392	-0.63647696	FUCA1	
FMO5	0.536	0.0026009	-3.283912	-1.5411	-0.26503585	FMO5	
POLR2G	0.536	0.0026295	-3.279709	-1.55	-0.11514307	POLR2G	
LOC100133463	0.536	0.002642	3.277884	-1.5539	0.10796911	LOC100133463	
FLJ40473	0.536	0.0026431	3.277733	-1.5542	0.13157417	FLJ40473	
LNPEP	0.536	0.0026939	-3.270404	-1.5698	-0.10668784	LNPEP	
RIN3	0.536	0.002709	-3.268252	-1.5744	-0.34277153	RIN3	
WDR74	0.536	0.0027304	3.265228	-1.5808	0.28959365	WDR74	
ZDHHC12	0.536	0.0027492	-3.262587	-1.5864	-0.22283051	ZDHHC12	
LOXL3	0.536	0.0027579	-3.261373	-1.589	-0.2229864	LOXL3	
ELA2A	0.536	0.0027691	3.25981	-1.5923	0.09914493	ELA2A	
KCNE3	0.536	0.0027735	-3.259194	-1.5936	-0.14584319	KCNE3	
NAT11	0.536	0.0027771	-3.258692	-1.5947	-0.11524499	NAT11	
NCAPD2	0.536	0.0027985	-3.255734	-1.601	-0.30844426	NCAPD2	
FRAT2	0.536	0.0028279	-3.251706	-1.6095	-0.42497871	FRAT2	
MRPL43	0.536	0.0028397	-3.250108	-1.6129	-0.20289989	MRPL43	
SUMF1	0.536	0.0028659	-3.246556	-1.6205	-0.38791883	SUMF1	
SNRPA1	0.536	0.0028676	3.246336	-1.6209	0.32373762	SNRPA1	
NHEJ1	0.536	0.0029253	-3.238645	-1.6372	-0.12274201	NHEJ1	
SPCS2	0.536	0.0029655	-3.233377	-1.6484	-0.18115523	SPCS2	
MTM1	0.536	0.0029766	-3.231931	-1.6514	-0.21733677	MTM1	
LOC730820	0.536	0.003037	-3.22416	-1.6679	-0.34875529	LOC730820	
LOC100128221	0.536	0.0030682	-3.220214	-1.6762	-0.08747035	LOC100128221	
SNORA68	0.536	0.0030752	3.219327	-1.6781	0.20040928	SNORA68	
MR1	0.536	0.0030761	-3.219214	-1.6783	-0.40207945	MR1	
LOC645104	0.536	0.0030957	3.216761	-1.6835	0.05619567	LOC645104	
RSRC2	0.536	0.0030987	3.216388	-1.6843	0.35409654	RSRC2	
HP	0.536	0.0030995	-3.216278	-1.6845	-0.77461819	HP	
OGDH	0.536	0.0031078	-3.215243	-1.6867	-0.26691011	OGDH	
GTPBP6	0.536	0.0031237	3.213271	-1.6909	0.15861755	GTPBP6	
LOC646066	0.536	0.0031431	-3.21087	-1.6959	-0.08997919	LOC646066	
TAF12	0.536	0.0031481	-3.210255	-1.6972	-0.25729169	TAF12	
STX6	0.536	0.0031703	-3.207535	-1.703	-0.28964283	STX6	
RAB27A	0.536	0.0031953	-3.204496	-1.7094	-0.30256506	RAB27A	
LOC642996	0.536	0.0032	-3.203923	-1.7106	-0.08056867	LOC642996	
CALU	0.536	0.0032033	-3.203525	-1.7114	-0.32880802	CALU	
CCPG1	0.536	0.0032815	-3.194167	-1.7311	-0.32168076	CCPG1	
AMICA1	0.536	0.0032895	-3.193228	-1.7331	-0.49626581	AMICA1	
CASQ1	0.536	0.0033029	-3.191652	-1.7364	-0.0810461	CASQ1	
COX7C	0.536	0.0033044	-3.191474	-1.7368	-0.13451756	COX7C	
SEPHS2	0.536	0.0033626	-3.184695	-1.7511	-0.26965194	SEPHS2	
PLEKHA3	0.536	0.003396	-3.180849	-1.7591	-0.19829876	PLEKHA3	
LOC641721	0.536	0.0034708	3.172384	-1.7769	0.07518139	LOC641721	
NDUFB7	0.536	0.0034747	-3.171944	-1.7779	-0.22563857	NDUFB7	
HS.539065	0.536	0.003503	-3.168783	-1.7845	-0.08120492	HS.539065	
FKBP9L	0.536	0.0035125	-3.167736	-1.7867	-0.11859699	FKBP9L	
PSMB5	0.536	0.0035287	-3.165942	-1.7904	-0.30108643	PSMB5	
SERAC1	0.536	0.0035533	-3.163239	-1.7961	-0.09803373	SERAC1	
HS.368405	0.536	0.00356	3.162505	-1.7977	0.08077178	HS.368405	
LOC54103	0.536	0.0035656	3.161892	-1.7989	0.34527449	LOC54103	
HS.527876	0.536	0.0035981	-3.158353	-1.8064	-0.13931233	HS.527876	
C9ORF167	0.536	0.003599	-3.158266	-1.8065	-0.4293148	C9ORF167	
LOC100130518	0.536	0.0036023	3.157903	-1.8073	0.11397672	LOC100130518	
EIF2C4	0.536	0.0036041	-3.157707	-1.8077	-0.202599	EIF2C4	
HAVCR2	0.536	0.0036257	-3.155377	-1.8126	-0.43903198	HAVCR2	
PGM1	0.536	0.0036306	-3.154859	-1.8137	-0.27624554	PGM1	
C8ORF41	0.536	0.0036313	-3.154781	-1.8138	-0.33610003	C8ORF41	
ANTXR2	0.536	0.0036424	-3.153593	-1.8163	-0.29637525	ANTXR2	
RCAN1	0.536	0.003669	-3.150755	-1.8223	-0.23644396	RCAN1	
MIR891A	0.536	0.00367	3.150646	-1.8225	0.07839458	MIR891A	
ATP6V1D	0.536	0.0037273	-3.144604	-1.8351	-0.46395372	ATP6V1D	
SH3GLB1	0.536	0.0037316	-3.144158	-1.8361	-0.25711201	SH3GLB1	
FUK	0.536	0.0037426	3.143005	-1.8385	0.22714036	FUK	
GBE1	0.536	0.0037478	-3.142465	-1.8396	-0.26215161	GBE1	
CCDC52	0.536	0.0037521	3.14201	-1.8406	0.08813226	CCDC52	
TOR1B	0.536	0.0037592	-3.141279	-1.8421	-0.40766006	TOR1B	
PDSS2	0.536	0.0037648	-3.140695	-1.8433	-0.15688425	PDSS2	
ATPAF2	0.536	0.0037678	-3.140387	-1.844	-0.21857432	ATPAF2	
TRAF5	0.536	0.0038048	3.136566	-1.8519	0.23611126	TRAF5	
FPR2	0.536	0.0038095	-3.136082	-1.8529	-0.43753756	FPR2	
LOC647493	0.536	0.0038112	-3.135915	-1.8533	-0.0748524	LOC647493	
CARD11	0.536	0.0038164	3.135381	-1.8544	0.2875354	CARD11	
CBARA1	0.536	0.0038409	-3.132882	-1.8596	-0.39598842	CBARA1	
ABCA13	0.536	0.0038509	-3.131868	-1.8618	-0.11820241	ABCA13	
MRPL34	0.536	0.0038648	-3.130451	-1.8647	-0.2370128	MRPL34	
KRTAP5-4	0.536	0.0038821	3.128709	-1.8683	0.0736377	KRTAP5-4	
PRKAG1	0.536	0.003901	-3.126813	-1.8723	-0.2709997	PRKAG1	
EIF2B2	0.536	0.0039323	-3.123682	-1.8788	-0.25483533	EIF2B2	
CMTM3	0.536	0.0039374	-3.123173	-1.8799	-0.19838804	CMTM3	
REC8	0.536	0.003992	3.117786	-1.8911	0.37246967	REC8	
MAP2K3	0.536	0.0039986	3.117145	-1.8925	0.32326	MAP2K3	
HS.551803	0.536	0.0040377	3.113327	-1.9004	0.09532101	HS.551803	
KIAA0196	0.536	0.0040456	-3.11257	-1.902	-0.27701846	KIAA0196	
GRM8	0.536	0.0040542	-3.111732	-1.9037	-0.08582669	GRM8	
PTBP2	0.536	0.0040586	3.111309	-1.9046	0.27064487	PTBP2	
TLR6	0.536	0.0041387	-3.103647	-1.9206	-0.35017514	TLR6	
HMHA1	0.536	0.004143	3.103244	-1.9214	0.32304611	HMHA1	
LOC401589	0.536	0.004143	3.103241	-1.9214	0.07945459	LOC401589	
PRDX4	0.536	0.004161	-3.101544	-1.9249	-0.25864378	PRDX4	
LOC650832	0.536	0.0041708	3.100616	-1.9269	0.38008901	LOC650832	
TP53I3	0.536	0.0042165	-3.096343	-1.9357	-0.19891174	TP53I3	
CYBRD1	0.536	0.0042171	-3.096289	-1.9358	-0.55470037	CYBRD1	
CDC123	0.536	0.0042271	-3.095357	-1.9378	-0.27637292	CDC123	
MIR548F3	0.536	0.0042348	-3.094646	-1.9393	-0.07867503	MIR548F3	
ZNF648	0.536	0.0042381	-3.094334	-1.9399	-0.08383535	ZNF648	
BTBD2	0.536	0.0042764	3.090801	-1.9472	0.16684349	BTBD2	
LOC441131	0.536	0.0042905	-3.089511	-1.9499	-0.19832028	LOC441131	
CHRNB1	0.536	0.0042932	-3.089267	-1.9504	-0.30568519	CHRNB1	
PGD	0.536	0.0043129	-3.087467	-1.9542	-0.39937904	PGD	
UFSP1	0.536	0.0043183	-3.086973	-1.9552	-0.09707145	UFSP1	
ACOX1	0.536	0.0043265	-3.086223	-1.9567	-0.20907049	ACOX1	
ASGR1	0.536	0.0043437	-3.084665	-1.96	-0.70593166	ASGR1	
ZNF506	0.536	0.0043715	3.082162	-1.9652	0.09303777	ZNF506	
ARHGAP6	0.536	0.0043791	3.081475	-1.9666	0.04975733	ARHGAP6	
SMYD1	0.536	0.0043839	3.081048	-1.9675	0.07180896	SMYD1	
HN1	0.536	0.0044128	-3.078459	-1.9728	-0.36316616	HN1	
GIPC3	0.536	0.0044234	-3.07752	-1.9748	-0.07281507	GIPC3	
KIRREL	0.536	0.0044266	3.077235	-1.9754	0.07799885	KIRREL	
LOC651894	0.536	0.0044295	3.076975	-1.9759	0.11787675	LOC651894	
ASF1B	0.536	0.0044526	-3.07493	-1.9801	-0.32775724	ASF1B	
CEACAM4	0.536	0.0044606	-3.07422	-1.9816	-0.2105714	CEACAM4	
AIF1	0.536	0.0044648	-3.07385	-1.9824	-0.39048391	AIF1	
CHCHD1	0.536	0.0044923	-3.071437	-1.9874	-0.32842813	CHCHD1	
TRIP4	0.536	0.0045063	-3.070213	-1.9899	-0.28673889	TRIP4	
SV2A	0.536	0.004591	-3.062878	-2.0051	-0.14362169	SV2A	
TMEM59	0.536	0.0046414	-3.058569	-2.014	-0.27115986	TMEM59	
KRBA1	0.536	0.0046595	3.057032	-2.0172	0.1676007	KRBA1	
PGAM1	0.536	0.0047314	-3.050994	-2.0296	-0.22851783	PGAM1	
ALDH2	0.536	0.0047647	-3.048225	-2.0353	-0.50450381	ALDH2	
SNORD116-29	0.536	0.0047727	3.047566	-2.0367	0.07262271	SNORD116-29	
BEST2	0.536	0.0047775	-3.047169	-2.0375	-0.10590686	BEST2	
SOS2	0.536	0.0047789	-3.047046	-2.0378	-0.21047822	SOS2	
RIOK2	0.536	0.0047858	-3.046481	-2.0389	-0.19183345	RIOK2	
FAM90A16	0.536	0.0047941	3.045795	-2.0403	0.09132481	FAM90A16	
DYNC1I2	0.536	0.0048019	-3.045154	-2.0417	-0.32100086	DYNC1I2	
LGALS1	0.536	0.0048101	-3.044484	-2.043	-0.38599701	LGALS1	
ZSCAN5A	0.536	0.0048173	-3.043885	-2.0443	-0.20013663	ZSCAN5A	
IPO5	0.536	0.004821	-3.043583	-2.0449	-0.17714536	IPO5	
LOC152195	0.536	0.0048418	-3.041884	-2.0484	-0.29200641	LOC152195	
FTSJ3	0.536	0.0048562	-3.040711	-2.0508	-0.27720767	FTSJ3	
LOC641844	0.536	0.0048811	-3.038686	-2.055	-0.35638645	LOC641844	
HS.542408	0.536	0.0048887	-3.038071	-2.0563	-0.06366405	HS.542408	
GBA	0.536	0.0049174	-3.035763	-2.061	-0.35049896	GBA	
ARG99	0.536	0.0049176	-3.035746	-2.061	-0.08810414	ARG99	
MIR376C	0.536	0.0049367	3.034214	-2.0642	0.07606317	MIR376C	
CLTA	0.536	0.0049417	-3.033809	-2.065	-0.31326019	CLTA	
LCOR	0.536	0.0049748	3.031172	-2.0705	0.34526021	LCOR	
C9ORF4	0.536	0.0049848	-3.030376	-2.0721	-0.08729725	C9ORF4	
NDUFA2	0.536	0.004993	-3.029726	-2.0734	-0.17696053	NDUFA2	
TCEA2	0.536	0.0050109	3.028306	-2.0764	0.13157475	TCEA2	
LRRN4	0.536	0.0050356	3.026363	-2.0803	0.06886027	LRRN4	
HS.543803	0.536	0.005044	3.025699	-2.0817	0.19089246	HS.543803	
RASGRP4	0.536	0.005053	-3.024993	-2.0832	-0.12172305	RASGRP4	
BAALC	0.536	0.0050643	-3.024109	-2.085	-0.07548527	BAALC	
MRLC2	0.536	0.0050857	-3.022441	-2.0884	-0.20787023	MRLC2	
LOC134466	0.536	0.0051009	-3.021259	-2.0908	-0.12950169	LOC134466	
TNFRSF8	0.536	0.0051018	-3.021185	-2.091	-0.32824119	TNFRSF8	
C14ORF129	0.536	0.0051056	-3.020892	-2.0916	-0.23923712	C14ORF129	
CALML4	0.536	0.0051271	-3.019231	-2.095	-0.33142931	CALML4	
CINP	0.536	0.0051431	-3.017997	-2.0975	-0.23135247	CINP	
VASP	0.536	0.0052146	-3.012521	-2.1088	-0.37482588	VASP	
LOC255809	0.536	0.0052188	-3.0122	-2.1094	-0.47590164	LOC255809	
RAP2B	0.536	0.0052287	-3.011444	-2.111	-0.12385489	RAP2B	
KIAA0562	0.536	0.0052664	-3.008598	-2.1168	-0.18876963	KIAA0562	
SOCS5	0.536	0.0052722	-3.008163	-2.1177	-0.06004169	SOCS5	
ERLIN1	0.536	0.0052722	-3.00816	-2.1177	-0.18959531	ERLIN1	
CDS2	0.536	0.0052735	-3.008061	-2.1179	-0.13047199	CDS2	
KCTD21	0.536	0.0052883	-3.006952	-2.1202	-0.20637955	KCTD21	
LZIC	0.536	0.0052916	-3.006703	-2.1207	-0.24880914	LZIC	
BTD	0.536	0.0053073	-3.005529	-2.1231	-0.1544741	BTD	
ERP29	0.536	0.0053094	-3.005372	-2.1234	-0.14070646	ERP29	
RPN1	0.536	0.00531	-3.005322	-2.1235	-0.20518113	RPN1	
MPV17L2	0.536	0.0053191	-3.004648	-2.1249	-0.13566199	MPV17L2	
LOC100128269	0.536	0.0053406	-3.00304	-2.1282	-0.09959701	LOC100128269	
GPR77	0.536	0.0053629	-3.001388	-2.1316	-0.09976676	GPR77	
VCP	0.536	0.0053657	-3.001179	-2.132	-0.1876396	VCP	
LOC728755	0.536	0.0053659	3.001165	-2.132	0.27315968	LOC728755	
C1GALT1C1	0.536	0.0053718	-3.00073	-2.1329	-0.38053595	C1GALT1C1	
SLC1A4	0.536	0.0053914	-2.999283	-2.1359	-0.15204831	SLC1A4	
LMAN2L	0.536	0.0054	-2.998648	-2.1372	-0.2526518	LMAN2L	
BCKDHA	0.536	0.0054036	-2.998387	-2.1377	-0.23615481	BCKDHA	
LOC100134067	0.536	0.0054155	-2.99751	-2.1395	-0.16448674	LOC100134067	
LPCAT3	0.536	0.005441	-2.995642	-2.1433	-0.3583355	LPCAT3	
HS.126468	0.536	0.0054461	2.995271	-2.1441	0.09075117	HS.126468	
TXNRD1	0.536	0.0054495	-2.995025	-2.1446	-0.26187718	TXNRD1	
LOC283953	0.536	0.0054642	2.993952	-2.1468	0.27123434	LOC283953	
LOC728666	0.536	0.0054668	-2.993762	-2.1472	-0.32798836	LOC728666	
LOC651655	0.536	0.005494	2.99179	-2.1512	0.08575023	LOC651655	
HIVEP2	0.536	0.0055191	2.989976	-2.1549	0.26612597	HIVEP2	
HS.369017	0.536	0.0055341	-2.988895	-2.1571	-0.23977381	HS.369017	
PDCD1LG2	0.536	0.0055379	-2.988623	-2.1577	-0.08662357	PDCD1LG2	
DYNLT3	0.536	0.0055621	2.986886	-2.1612	0.28033823	DYNLT3	
LOC100133732	0.536	0.0056114	-2.983373	-2.1684	-0.10012637	LOC100133732	
TMEM102	0.536	0.0056255	-2.982373	-2.1705	-0.07606763	TMEM102	
CHPF2	0.536	0.0056391	-2.981412	-2.1724	-0.19198282	CHPF2	
BCLAF1	0.536	0.0056481	2.980774	-2.1737	0.19588426	BCLAF1	
TPSB2	0.536	0.0056537	-2.980386	-2.1745	-0.11506371	TPSB2	
CD14	0.536	0.0056618	-2.979813	-2.1757	-0.72209417	CD14	
UGCGL2	0.536	0.0056793	-2.97858	-2.1782	-0.09677181	UGCGL2	
ARF5	0.536	0.0056886	-2.977933	-2.1795	-0.2112915	ARF5	
LOC644397	0.536	0.0056931	2.977617	-2.1802	0.08965986	LOC644397	
SNORA66	0.536	0.0057099	2.97644	-2.1826	0.19449342	SNORA66	
SNX15	0.536	0.0057319	-2.974907	-2.1857	-0.18359533	SNX15	
SLC9A9	0.536	0.0057592	-2.973015	-2.1896	-0.27179723	SLC9A9	
LRP1	0.536	0.0057717	-2.97215	-2.1913	-0.3083527	LRP1	
LSMD1	0.536	0.0057789	-2.97165	-2.1923	-0.23116234	LSMD1	
C12ORF5	0.536	0.0057802	-2.971566	-2.1925	-0.34621209	C12ORF5	
LOC730145	0.536	0.005802	2.970062	-2.1956	0.10351093	LOC730145	
C19ORF52	0.536	0.0058413	-2.967366	-2.2011	-0.24835096	C19ORF52	
STK25	0.536	0.0058822	2.964581	-2.2067	0.17936014	STK25	
NLRP11	0.536	0.0058929	2.963855	-2.2082	0.0670329	NLRP11	
LOC100129119	0.536	0.005903	-2.963173	-2.2096	-0.10982083	LOC100129119	
NLRP12	0.536	0.0059097	-2.962722	-2.2105	-0.40430447	NLRP12	
PSMB8	0.536	0.0059371	-2.960875	-2.2143	-0.18170865	PSMB8	
C8ORF83	0.536	0.0059607	-2.959288	-2.2175	-0.24415879	C8ORF83	
FRMD4B	0.536	0.0059676	-2.95883	-2.2184	-0.17793523	FRMD4B	
IDH1	0.536	0.0059706	-2.958629	-2.2188	-0.66112355	IDH1	
SPRYD4	0.536	0.0060022	-2.956519	-2.2231	-0.25171125	SPRYD4	
HS.437395	0.536	0.006024	2.955069	-2.2261	0.13894077	HS.437395	
DLX5	0.536	0.0060402	2.953998	-2.2283	0.0788773	DLX5	
QPCT	0.536	0.0060567	-2.952903	-2.2305	-0.57920933	QPCT	
LSAMP	0.536	0.0060762	-2.951621	-2.2331	-0.08269095	LSAMP	
C6ORF127	0.536	0.0060831	2.951165	-2.234	0.07577496	C6ORF127	
SNORA15	0.536	0.0060864	2.950951	-2.2344	0.09479513	SNORA15	
LOC440341	0.536	0.0060941	2.950443	-2.2355	0.50006799	LOC440341	
FLJ30058	0.536	0.0060973	-2.950236	-2.2359	-0.06745556	FLJ30058	
C3ORF23	0.536	0.0061079	-2.94954	-2.2373	-0.14980765	C3ORF23	
DPY19L1	0.536	0.0061227	-2.948569	-2.2393	-0.22690808	DPY19L1	
